genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
LPL,0.4402818389781665,4,90,18.96868089946656,1.2637340593031816,-3045.889988184986,-7.30959734435898,4.697860512238336,SE,2032,9.225115936330557e-06,0.00017674912277228287,0.0026001930236816406,6122.2470796047655,-3304.478513182735,258.58852499774866,0.0,0.0
LPXN,0.3387403723610963,4,93,18.96868089946656,1.9405378199028875,-2645.423278347754,-1.7674135070238357,0.5386558149729453,SE,2032,1.6276961426907126e-05,0.00036309424156095494,0.0029611587524414062,5321.313659930302,-2781.132336486916,135.7090581391617,0.0,0.0
LRRC15,0.30870286295876687,4,100,18.96868089946656,2.2260820346653416,-2024.4592609187496,-2.0829605824826065,0.45455507138858353,SE,2032,1.816654499818699e-05,0.0004382402899749698,0.003019094467163086,4079.3856250722924,-2138.6004287390488,114.14116782029919,0.0,0.0
LUM,2.048931431244846e-09,4,101,18.96868089946656,485165195.4097903,-1997.2939271854775,-3.200925955215687,2.1980195573821575e-08,SE,2032,0.0010414241469698065,179617376893873.03,0.001428842544555664,4025.0549576057483,-1997.2940503260645,0.00012314058699303132,0.9911461581933928,0.49147868003647593
LYPD3,0.250367903218295,4,102,18.96868089946656,2.976367713198808,-2932.093136466665,-2.3664550200206276,0.6588096819924092,SE,2032,2.113413994393323e-05,0.0006295855676445336,0.0035178661346435547,5894.653376168123,-3003.5399698772053,71.44683341054042,0.0,0.0
LYZ,0.26876433096900537,4,106,18.96868089946656,2.704598485793627,-2689.8674667404484,-0.8562261987138452,0.2981164996775162,SE,2032,2.2953420988811576e-05,0.0006336045710116169,0.003965139389038086,5410.20203671569,-2769.196748435503,79.32928169505476,0.0,0.0
MAP3K8,2.0489314312448454e-09,4,110,18.96868089946656,485165195.4097903,-3407.211992685585,-5.855261270266061,7.411672899482672e-08,SE,2032,0.00015012388825738762,25892292872562.566,0.0020308494567871094,6844.891088605963,-3407.2121159384023,0.00012325281750236172,0.9911421245758443,0.49147868003647593
MDM2,0.18499418274791182,4,114,18.96868089946656,4.379451289942995,-2207.2621018505442,-1.6406303970833966,0.2621388687115776,SE,2032,2.124600319683569e-05,0.000916523419051018,0.0037131309509277344,4444.991306935882,-2262.824098077561,55.56199622701661,9.059419880941277e-14,1.1627062948801642e-13
MEDAG,0.567274924719222,4,116,18.96868089946656,0.7582903670709782,-2753.798133976965,-6.5278373266529455,4.126477443120317,SE,2032,5.660340422552534e-06,0.00010911954211825554,0.0023462772369384766,5538.063371188723,-3187.005357053542,433.20722307657707,0.0,0.0
MKI67,0.4303425335885624,4,117,18.96868089946656,1.3158809062750132,-3086.125727919613,-7.110749562403855,4.468208837679158,SE,2032,1.0099779698212025e-05,0.00019511201549816384,0.0026960372924804688,6202.718559074019,-3322.522780069,236.39705214938704,0.0,0.0
MLPH,0.4009124467521438,4,120,18.96868089946656,1.4854492566529611,-3239.9225136617465,-1.5932342638035546,0.8974830951086169,SE,2032,1.2819702548219428e-05,0.0002558106338583248,0.0027921199798583984,6510.312130558286,-3427.953937296242,188.0314236344957,0.0,0.0
MMP1,0.251757418710516,4,123,18.96868089946656,2.954453820660119,-2496.553694813922,-1.98924537196055,0.4510930493647801,SE,2032,2.3634850584182967e-05,0.0006997924988015553,0.0031630992889404297,5023.574492862637,-2570.681238503697,74.12754368977494,0.0,0.0
MMP2,0.45981936664932466,4,125,18.96868089946656,1.1678009238429987,-3942.383961300183,-2.320272813306457,2.134041467304026,SE,2032,1.0385649330764076e-05,0.00019652519533131782,0.001711130142211914,7915.235025835159,-4200.114304375259,257.73034307507623,0.0,0.0
MMRN2,0.35937969937810277,4,127,18.96868089946656,1.7720020480926604,-3252.428840415871,-2.1828762302456792,0.9644266294092673,SE,2032,1.8262543066655795e-05,0.0003898448276569387,0.0028312206268310547,6535.324784066535,-3387.7247138211574,135.29587340528633,0.0,0.0
